run,nu_true,nu_pred,abs_error,rel_error_pct,best_val_loss,ic,nu_class
1,0.02788064315638721,0.03308939188718796,0.005208748730800749,18.682311959534083,8.96736491995398e-06,Gauss,low
2,0.046024370323082875,0.04976079985499382,0.0037364295319109453,8.118371866213216,3.210305521861301e-06,Gauss,low
3,0.12422117338536824,0.12401890009641647,0.0002022732889517681,0.16283318168655575,7.626366596014122e-07,Gauss,high
4,0.05152302833863108,0.04486233368515968,0.006660694653471397,12.927607068618913,1.9873285054927692e-05,Step_up,high
5,0.22347681955534132,0.05264860391616821,0.1708282156391731,76.44113424339726,0.0017306332010775805,N_wave,high
6,0.05157981679419254,0.0552227757871151,0.0036429589929225584,7.062760628751836,3.2299897156917723e-06,Gauss,high
7,0.4020061323701583,0.13697561621665955,0.26503051615349876,65.92698339971206,0.0024062683805823326,N_wave,high
8,0.02886756646989566,0.029110079631209373,0.00024251316131371214,0.8400886911150454,1.2901490663352888e-05,Step_up,low
9,0.4257706173979793,0.1136852279305458,0.31208538946743347,73.29894941428493,0.001811739755794406,N_wave,high
10,0.38963800038062457,0.38235339522361755,0.007284605157007018,1.8695828307020688,1.3134001619619085e-06,Gauss,high
11,0.04679732288395622,0.050307419151067734,0.0035100962671115107,7.500634760273639,2.6165773761022137e-06,Gauss,low
12,0.04132350762924464,0.045723143965005875,0.004399636335761237,10.646812403329516,3.680584768517292e-06,Gauss,low
13,0.1881965016777125,0.18513858318328857,0.003057918494423939,1.6248540579466457,1.861963141891465e-06,Gauss,high
14,0.011635246823360118,0.019168555736541748,0.00753330891318163,64.74558750276775,2.4930241124820895e-05,Step_up,low
15,0.04397169699062415,0.04739401862025261,0.0034223216296284595,7.7830101266234575,2.6161847017647233e-06,Gauss,low
16,0.015557522519371654,0.023280654102563858,0.007723131583192204,49.64242586552997,2.9261456802487373e-05,Gauss,low
17,0.009956855186248916,0.015974152833223343,0.006017297646974427,60.433716614506125,5.324778248905204e-05,Gauss,low1
2,0.0478815700625925,0.06667689234018326,0.01879532227759076,39.253771864667016,3.907798964064568e-05,Gauss,low
3,0.010954887780437666,0.04025162011384964,0.029296732333411974,267.4306932265217,0.00935924518853426,N_wave,low
4,0.15487578299441868,0.1502930372953415,0.004582745699077184,2.9589814562825065,6.224970547918929e-06,Gauss,high
5,0.38439575873810483,0.1634293496608734,0.22096640907723142,57.48409134445718,0.0006382694700732827,Step_up,high
6,0.03364266295901125,0.04471429064869881,0.011071627689687558,32.909486693062156,0.0035925672855228186,N_wave,low
7,0.04388167114102719,0.05031764879822731,0.006435977657200123,14.666664896412303,0.0003962221380788833,N_wave,low
8,0.3776089034784537,0.37652909755706787,0.0010798059213858457,0.28595880855533357,2.0062734620296396e-06,Gauss,high
9,0.008024996749206165,0.004712066147476435,0.0033129306017297307,41.28264104352998,0.013887997716665268,N_wave,low
10,0.3213976035152441,0.16201700270175934,0.15938060081348476,49.58985352419569,0.0009320304379798472,N_wave,high
11,0.005569818261891975,0.06135224178433418,0.055782423522442205,1001.512453361339,0.00044521421659737825,Step_up,low
12,0.47017486189374985,0.4493999481201172,0.020774913773632664,4.418550513304002,9.7324491434847e-06,Gauss,high
13,0.03651793605168287,0.07532035559415817,0.038802419542475305,106.25578479451652,0.00019528402481228113,Gauss,low
14,0.009428492917391396,0.022291814908385277,0.012863321990993881,136.4303086792031,2.364013562328182e-05,Step_up,low
15,0.04599427438729448,0.0727105364203453,0.026716262033050824,58.08606046936781,8.650581730762497e-05,Gauss,low
16,0.05005519443870755,0.010231497697532177,0.03982369674117537,79.55956856773253,0.004676728509366512,N_wave,high
17,0.4594296227450548,0.1753399670124054,0.2840896557326494,61.83529351791395,0.0010505776153877378,Step_up,high
18,0.047964117798122444,0.07663911581039429,0.028674998012271843,59.78427067701498,0.00010898708569584414,Gauss,low
19,0.03274858244421565,0.009845414198935032,0.022903168245280617,69.93636528938059,0.00010397667210781947,Step_up,low
20,0.4502819640378303,0.3033730685710907,0.14690889546673958,32.62597820915543,0.001836891402490437,N_wave,high
