run,zeta_true,zeta_pred,omega_0_true,omega_0_pred,abs_error_zeta,rel_error_zeta_pct,abs_error_omega_0,rel_error_omega_0_pct,best_val_loss,damped_case
1,1.0,0.9682941436767578,2.195791192095637,2.1751718521118164,0.03170585632324219,3.1705856323242188,0.020619339983820595,0.9390391972627298,5.1756983339146245e-06,critically_damped
2,0.9412559697933223,0.9272913932800293,1.591249200910941,1.5889108180999756,0.01396457651329297,1.4836109370290915,0.0023383828109653226,0.1469526463627866,4.058368631376652e-06,underdamped
3,1.8761122398929615,1.6704576015472412,0.5211786722721677,0.4593283534049988,0.2056546383457203,10.961744930434095,0.06185031886716896,11.867392538823951,8.216651622205973e-06,overdamped
4,0.7109636404426565,0.7059757113456726,3.9092234098429435,3.000812530517578,0.0049879290969838674,0.7015730219168885,0.9084108793253654,23.237630191155066,7.197167724370956e-05,underdamped
5,1.4019706739511377,1.328933596611023,1.4960077764081776,1.4301718473434448,0.07303707734011478,5.209600935109168,0.06583592906473279,4.400774521560362,1.060855902323965e-05,overdamped
6,0.8857050242111864,0.7949961423873901,3.9693839739126986,2.950096368789673,0.09070888182379622,10.241432457107493,1.0192876051230257,25.678735335808145,7.193149940576404e-05,underdamped
7,1.8309807446731232,1.6576396226882935,0.3980633052889766,0.378389835357666,0.17334112198482976,9.46711878260498,0.019673469931310583,4.942296782927153,2.0274849248380633e-06,overdamped
8,1.1042437553420554,0.8952853083610535,3.591291150906078,2.3280999660491943,0.20895844698100197,18.923217448150666,1.2631911848568835,35.17373367342222,5.098437759443186e-05,overdamped
9,0.2897621708449739,0.30152764916419983,0.7077978447786131,0.700807511806488,0.01176547831922592,4.060391418561184,0.006990332972125035,0.987617159856073,2.3694097762927413e-05,underdamped
10,1.158436373461796,1.1235228776931763,1.7234546713690706,1.7107242345809937,0.034913495768619685,3.013846644359626,0.012730436788076949,0.7386580569574365,1.38971590786241e-05,overdamped
11,1.0,1.0459593534469604,0.4141092131002158,0.42707979679107666,0.04595935344696045,4.595935344696045,0.012970583690860849,3.132164965313613,2.9838258797099115e-06,critically_damped
12,0.52757013716155,0.5355794429779053,3.1641070964522804,3.2755777835845947,0.008009305816355283,1.5181499581168887,0.11147068713231434,3.5229745307072444,2.4471417418681085e-05,underdamped
13,0.6896612185261433,0.6855785846710205,3.6321185582595144,3.7586398124694824,0.0040826338551227526,0.5919767192140571,0.12652125420996807,3.4834010008361664,3.4587130357977e-05,underdamped
